ID,Label,num_member
1,Household 1,23
3,Household 3,20
4,Household 4,6
5,Household 5,21
6,Household 6,19
7,Household 7,20
8,Household 8,22
9,Household 9,21
11,Household 11,16
12,Household 12,20
14,Household 14,19
15,Household 15,20
16,Household 16,21
17,Household 17,21
18,Household 18,16
19,Household 19,19
20,Household 20,21
21,Household 21,19
22,Household 22,18
23,Household 23,20
24,Household 24,21
25,Household 25,20
26,Household 26,16
27,Household 27,17
28,Household 28,20
29,Household 29,22
30,Household 30,19
31,Household 31,20
32,Household 32,20
33,Household 33,13
34,Household 34,14
35,Household 35,15
36,Household 36,17
37,Household 37,23
38,Household 38,20
39,Household 39,26
